comparison_type,model_source,layer,emotion_or_group,estimate_name,cosine,explained_fraction,ci_low,ci_high,p_value,q_value,max_stat_p_value,null_p95,reliability,pca_status,effective_rank,condition_number,gate_passed,confirmatory,notes
split_reliability,aligned,6,content,reliability,,,,,,,,,0.5488090299078929,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,7,content,reliability,,,,,,,,,0.5906542190314321,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,8,content,reliability,,,,,,,,,0.6247491506528092,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,9,content,reliability,,,,,,,,,0.6337618760573911,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,10,content,reliability,,,,,,,,,0.68074869762462,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,11,content,reliability,,,,,,,,,0.6731112577337173,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,12,content,reliability,,,,,,,,,0.6805272676534418,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,13,content,reliability,,,,,,,,,0.6990433929641453,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,14,content,reliability,,,,,,,,,0.704057615026362,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,15,content,reliability,,,,,,,,,0.6904955063562827,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,16,content,reliability,,,,,,,,,0.6997002220515408,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,17,content,reliability,,,,,,,,,0.6983285489595259,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,18,content,reliability,,,,,,,,,0.6959750266251056,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,19,content,reliability,,,,,,,,,0.6903911237030179,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,20,content,reliability,,,,,,,,,0.6920784799031267,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,21,content,reliability,,,,,,,,,0.6650607533332185,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,22,content,reliability,,,,,,,,,0.663333350684346,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,23,content,reliability,,,,,,,,,0.6500585013312357,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,24,content,reliability,,,,,,,,,0.638313956514774,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,25,content,reliability,,,,,,,,,0.643049452684811,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,26,content,reliability,,,,,,,,,0.61583237473694,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,27,content,reliability,,,,,,,,,0.614757447682243,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,28,content,reliability,,,,,,,,,0.633011180561282,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,29,content,reliability,,,,,,,,,0.6524612811643293,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,30,content,reliability,,,,,,,,,0.6894439582187913,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,31,content,reliability,,,,,,,,,0.7025914440082645,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,32,content,reliability,,,,,,,,,0.6948474120782158,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,33,content,reliability,,,,,,,,,0.6907665521905617,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,34,content,reliability,,,,,,,,,0.6931818505271755,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,35,content,reliability,,,,,,,,,0.6944591120772178,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,36,content,reliability,,,,,,,,,0.7128844613893253,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,37,content,reliability,,,,,,,,,0.7302383994457008,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,38,content,reliability,,,,,,,,,0.7343855179430461,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,39,content,reliability,,,,,,,,,0.7364641403382578,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,40,content,reliability,,,,,,,,,0.7504672853321652,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,41,content,reliability,,,,,,,,,0.7538146215092251,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,42,content,reliability,,,,,,,,,0.7569525172096303,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,43,content,reliability,,,,,,,,,0.7534126556608869,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,44,content,reliability,,,,,,,,,0.7493836774478901,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,45,content,reliability,,,,,,,,,0.7347609899195852,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,46,content,reliability,,,,,,,,,0.6987775739683628,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,47,content,reliability,,,,,,,,,0.7190479819852181,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,0,calm,reliability,,,,,,,,,0.557380068968814,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,1,calm,reliability,,,,,,,,,0.5338189866384447,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,2,calm,reliability,,,,,,,,,0.5268437809872881,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,3,calm,reliability,,,,,,,,,0.5425536640028972,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,4,calm,reliability,,,,,,,,,0.5681504298626342,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,5,calm,reliability,,,,,,,,,0.5795309868682467,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,6,calm,reliability,,,,,,,,,0.5862055890034574,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,7,calm,reliability,,,,,,,,,0.5962680678749716,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,8,calm,reliability,,,,,,,,,0.6037554982470764,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,9,calm,reliability,,,,,,,,,0.6589391735446335,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,10,calm,reliability,,,,,,,,,0.6933080931049552,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,11,calm,reliability,,,,,,,,,0.6971940364009489,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,12,calm,reliability,,,,,,,,,0.6875077579684592,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,13,calm,reliability,,,,,,,,,0.7023752526368389,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,14,calm,reliability,,,,,,,,,0.6999239366668698,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,15,calm,reliability,,,,,,,,,0.701006431926669,raw,,,True,True,topic split A (0-9) versus split B (10-19)
split_reliability,aligned,16,calm,reliability,,,,,,,,,0.7203823236505733,raw,,,True,True,topic split A (0-9) versus split B (10-19)
