comparison_type,model_source,layer,emotion_or_group,estimate_name,cosine,explained_fraction,ci_low,ci_high,p_value,q_value,max_stat_p_value,null_p95,reliability,pca_status,effective_rank,condition_number,gate_passed,confirmatory,notes,stability
cross_model_stability,cross_model,34,calm,reliability,,,,,,,,,0.9910426585605547,raw,,,True,True,aligned versus misaligned full emotion direction,0.9910426585605547
cross_model_stability,cross_model,35,calm,reliability,,,,,,,,,0.9910810052995629,raw,,,True,True,aligned versus misaligned full emotion direction,0.9910810052995629
cross_model_stability,cross_model,36,calm,reliability,,,,,,,,,0.9917539712443355,raw,,,True,True,aligned versus misaligned full emotion direction,0.9917539712443355
cross_model_stability,cross_model,37,calm,reliability,,,,,,,,,0.9919638408601976,raw,,,True,True,aligned versus misaligned full emotion direction,0.9919638408601976
cross_model_stability,cross_model,38,calm,reliability,,,,,,,,,0.9924933431762806,raw,,,True,True,aligned versus misaligned full emotion direction,0.9924933431762806
cross_model_stability,cross_model,39,calm,reliability,,,,,,,,,0.9924779804606544,raw,,,True,True,aligned versus misaligned full emotion direction,0.9924779804606544
cross_model_stability,cross_model,40,calm,reliability,,,,,,,,,0.9927245646522003,raw,,,True,True,aligned versus misaligned full emotion direction,0.9927245646522003
cross_model_stability,cross_model,41,calm,reliability,,,,,,,,,0.992545761179234,raw,,,True,True,aligned versus misaligned full emotion direction,0.992545761179234
cross_model_stability,cross_model,42,calm,reliability,,,,,,,,,0.9924644025815208,raw,,,True,True,aligned versus misaligned full emotion direction,0.9924644025815208
cross_model_stability,cross_model,43,calm,reliability,,,,,,,,,0.9929074355653904,raw,,,True,True,aligned versus misaligned full emotion direction,0.9929074355653904
cross_model_stability,cross_model,44,calm,reliability,,,,,,,,,0.9932104060207696,raw,,,True,True,aligned versus misaligned full emotion direction,0.9932104060207696
cross_model_stability,cross_model,45,calm,reliability,,,,,,,,,0.9926944533115308,raw,,,True,True,aligned versus misaligned full emotion direction,0.9926944533115308
cross_model_stability,cross_model,46,calm,reliability,,,,,,,,,0.993870592110958,raw,,,True,True,aligned versus misaligned full emotion direction,0.993870592110958
cross_model_stability,cross_model,47,calm,reliability,,,,,,,,,0.9943942670598113,raw,,,True,True,aligned versus misaligned full emotion direction,0.9943942670598113
cross_model_stability,cross_model,0,content,reliability,,,,,,,,,0.9998026762469809,raw,,,True,True,aligned versus misaligned full emotion direction,0.9998026762469809
cross_model_stability,cross_model,1,content,reliability,,,,,,,,,0.9997900901986093,raw,,,True,True,aligned versus misaligned full emotion direction,0.9997900901986093
cross_model_stability,cross_model,2,content,reliability,,,,,,,,,0.9997483592048017,raw,,,True,True,aligned versus misaligned full emotion direction,0.9997483592048017
cross_model_stability,cross_model,3,content,reliability,,,,,,,,,0.999677395341713,raw,,,True,True,aligned versus misaligned full emotion direction,0.999677395341713
cross_model_stability,cross_model,4,content,reliability,,,,,,,,,0.999656244400689,raw,,,True,True,aligned versus misaligned full emotion direction,0.999656244400689
cross_model_stability,cross_model,5,content,reliability,,,,,,,,,0.999461423376503,raw,,,True,True,aligned versus misaligned full emotion direction,0.999461423376503
cross_model_stability,cross_model,6,content,reliability,,,,,,,,,0.9991994024364128,raw,,,True,True,aligned versus misaligned full emotion direction,0.9991994024364128
cross_model_stability,cross_model,7,content,reliability,,,,,,,,,0.9990009502648591,raw,,,True,True,aligned versus misaligned full emotion direction,0.9990009502648591
cross_model_stability,cross_model,8,content,reliability,,,,,,,,,0.9984183317724593,raw,,,True,True,aligned versus misaligned full emotion direction,0.9984183317724593
cross_model_stability,cross_model,9,content,reliability,,,,,,,,,0.9973966376336517,raw,,,True,True,aligned versus misaligned full emotion direction,0.9973966376336517
cross_model_stability,cross_model,10,content,reliability,,,,,,,,,0.9953070008048703,raw,,,True,True,aligned versus misaligned full emotion direction,0.9953070008048703
cross_model_stability,cross_model,11,content,reliability,,,,,,,,,0.9946981659485001,raw,,,True,True,aligned versus misaligned full emotion direction,0.9946981659485001
cross_model_stability,cross_model,12,content,reliability,,,,,,,,,0.9952396810027483,raw,,,True,True,aligned versus misaligned full emotion direction,0.9952396810027483
cross_model_stability,cross_model,13,content,reliability,,,,,,,,,0.996433598619371,raw,,,True,True,aligned versus misaligned full emotion direction,0.996433598619371
cross_model_stability,cross_model,14,content,reliability,,,,,,,,,0.9966338212392248,raw,,,True,True,aligned versus misaligned full emotion direction,0.9966338212392248
cross_model_stability,cross_model,15,content,reliability,,,,,,,,,0.9966129300389469,raw,,,True,True,aligned versus misaligned full emotion direction,0.9966129300389469
cross_model_stability,cross_model,16,content,reliability,,,,,,,,,0.9960513398617635,raw,,,True,True,aligned versus misaligned full emotion direction,0.9960513398617635
cross_model_stability,cross_model,17,content,reliability,,,,,,,,,0.9965663066655757,raw,,,True,True,aligned versus misaligned full emotion direction,0.9965663066655757
cross_model_stability,cross_model,18,content,reliability,,,,,,,,,0.9957721019807837,raw,,,True,True,aligned versus misaligned full emotion direction,0.9957721019807837
cross_model_stability,cross_model,19,content,reliability,,,,,,,,,0.9948681675713005,raw,,,True,True,aligned versus misaligned full emotion direction,0.9948681675713005
cross_model_stability,cross_model,20,content,reliability,,,,,,,,,0.9936157727063651,raw,,,True,True,aligned versus misaligned full emotion direction,0.9936157727063651
cross_model_stability,cross_model,21,content,reliability,,,,,,,,,0.9935741149052295,raw,,,True,True,aligned versus misaligned full emotion direction,0.9935741149052295
cross_model_stability,cross_model,22,content,reliability,,,,,,,,,0.9935949384202967,raw,,,True,True,aligned versus misaligned full emotion direction,0.9935949384202967
cross_model_stability,cross_model,23,content,reliability,,,,,,,,,0.9936948688295102,raw,,,True,True,aligned versus misaligned full emotion direction,0.9936948688295102
cross_model_stability,cross_model,24,content,reliability,,,,,,,,,0.992994528749842,raw,,,True,True,aligned versus misaligned full emotion direction,0.992994528749842
cross_model_stability,cross_model,25,content,reliability,,,,,,,,,0.9926998456286403,raw,,,True,True,aligned versus misaligned full emotion direction,0.9926998456286403
cross_model_stability,cross_model,26,content,reliability,,,,,,,,,0.9904566039603568,raw,,,True,True,aligned versus misaligned full emotion direction,0.9904566039603568
