comparison_type,model_source,layer,emotion_or_group,estimate_name,cosine,explained_fraction,ci_low,ci_high,p_value,q_value,max_stat_p_value,null_p95,reliability,pca_status,effective_rank,condition_number,gate_passed,confirmatory,notes
subspace,misaligned,28,all_six_negative,explained_fraction,0.3629156022630166,0.13170773436592823,0.09682570619462165,0.14523781259041957,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.0025371260051799105,0.6493897602811013,raw,6.0,6.170254892900843,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,misaligned,29,all_six_negative,explained_fraction,0.344895070606773,0.11895260972885112,0.08385420276392064,0.1316103957490928,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.0024256408647342718,0.6451415025098585,raw,6.0,6.060241743330808,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,misaligned,30,all_six_negative,explained_fraction,0.3511467706293291,0.12330405452340656,0.09034398545868559,0.13662381998787973,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.0026615741046304665,0.660233118602312,raw,6.0,6.36323567480986,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,misaligned,31,all_six_negative,explained_fraction,0.36360961194857144,0.13221194990139049,0.10345258448849949,0.1468803523807233,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.002636533182672424,0.6983207823167024,raw,6.0,7.017912437584509,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,misaligned,32,all_six_negative,explained_fraction,0.3381669241820157,0.11435686861072515,0.09195886933802468,0.12857069410956615,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.002355568926496143,0.6930954646734906,raw,6.0,7.006887442327973,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,misaligned,33,all_six_negative,explained_fraction,0.31657397702134876,0.10021908292711346,0.0806505914683409,0.11394303835129846,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.002419277775395672,0.6987751856435233,raw,6.0,7.0679690815367335,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,misaligned,34,all_six_negative,explained_fraction,0.31288913855492445,0.09789961302564285,0.08003958756416998,0.11110504523945988,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.002318146931797405,0.6981230203399944,raw,6.0,7.1366846472742935,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,misaligned,35,all_six_negative,explained_fraction,0.2909495259736237,0.08465162666427621,0.0696358070715643,0.09806484262068851,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.002367395098316436,0.6968097316213089,raw,6.0,7.067948613647867,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,misaligned,36,all_six_negative,explained_fraction,0.276505285517027,0.07645517291885265,0.06310366984609103,0.08801593424188173,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.0025806220922737814,0.7002830856629765,raw,6.0,7.091671333737424,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,misaligned,37,all_six_negative,explained_fraction,0.27584150682283104,0.07608853688628997,0.0640618532576783,0.08704150453180794,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.0024609296682569885,0.7054948471607243,raw,6.0,7.097323278470449,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,misaligned,38,all_six_negative,explained_fraction,0.2780447250190487,0.07730886911091846,0.0670868970455095,0.08804584299892311,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.0024227130105194897,0.7150465457356223,raw,6.0,7.215167671513983,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,misaligned,39,all_six_negative,explained_fraction,0.25496786283011397,0.0650086110761559,0.05487356618208936,0.07601988204898437,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.0024435668004685646,0.7170111821349694,raw,6.0,7.23239013183767,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,misaligned,40,all_six_negative,explained_fraction,0.25378631958171877,0.0644074960068343,0.05543435271700188,0.07402426068544808,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.002284844807408394,0.7267338733899924,raw,6.0,7.605516483233459,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,misaligned,41,all_six_negative,explained_fraction,0.23239783954212206,0.05400875582384591,0.04636315873649451,0.06454356658751859,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.0022572046847254726,0.7300193512477111,raw,6.0,7.629232080797549,True,True,control=matched_random_subspace;method=exact_rotational_beta
subspace,misaligned,42,all_six_negative,explained_fraction,0.21923591985907312,0.048064388556453924,0.041869935326813504,0.05965475290793587,0.004975124378109453,0.004975124378109453,0.004975124378109453,0.0024096750512532044,0.7373138019410215,raw,6.0,7.603834659917741,True,True,control=matched_random_subspace;method=exact_rotational_beta
