comparison_type,model_source,layer,emotion_or_group,estimate_name,cosine,explained_fraction,ci_low,ci_high,p_value,q_value,max_stat_p_value,null_p95,reliability,pca_status,effective_rank,condition_number,gate_passed,confirmatory,notes
centroid,aligned,33,all_six_negative,cosine,0.17340710759162903,,0.14338274113833907,0.2031562127172947,0.014925373134328358,0.0255863539445629,0.009950248756218905,0.13655689358711243,0.6920265067268833,raw,,,True,True,"control=emotion_label_permutation;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.009950248756218905 | control=matched_random_centroid;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.11940298507462686"
centroid,aligned,34,all_six_negative,cosine,0.17481833696365356,,0.14332885816693308,0.20342295020818713,0.014925373134328358,0.0255863539445629,0.009950248756218905,0.13381903320550917,0.688007129983552,raw,,,True,True,"control=emotion_label_permutation;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.009950248756218905 | control=matched_random_centroid;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.11940298507462686"
centroid,aligned,35,all_six_negative,cosine,0.17185279726982117,,0.14084076061844827,0.2006177444010973,0.014925373134328358,0.0255863539445629,0.009950248756218905,0.13057771250605582,0.6859766159331673,raw,,,True,True,"control=emotion_label_permutation;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.009950248756218905 | control=matched_random_centroid;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.11940298507462686"
centroid,aligned,36,all_six_negative,cosine,0.17060618102550507,,0.14217901676893235,0.19624913707375527,0.014925373134328358,0.0255863539445629,0.009950248756218905,0.11907896511256694,0.6900575136483025,raw,,,True,True,"control=emotion_label_permutation;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.009950248756218905 | control=matched_random_centroid;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.11940298507462686"
centroid,aligned,37,all_six_negative,cosine,0.18157413601875305,,0.15579870566725731,0.20572185255587103,0.009950248756218905,0.020993931441692634,0.009950248756218905,0.11308386549353577,0.6944160023717401,raw,,,True,True,"control=emotion_label_permutation;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.009950248756218905 | control=matched_random_centroid;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.11940298507462686"
centroid,aligned,38,all_six_negative,cosine,0.188876211643219,,0.16137934513390065,0.21386014930903913,0.009950248756218905,0.020993931441692634,0.009950248756218905,0.1201264351606369,0.7036145440109906,raw,,,True,True,"control=emotion_label_permutation;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.009950248756218905 | control=matched_random_centroid;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.11940298507462686"
centroid,aligned,39,all_six_negative,cosine,0.18452590703964233,,0.16302389949560167,0.20451317131519317,0.004975124378109453,0.016190235264356184,0.009950248756218905,0.11311178728938093,0.7071056813813881,raw,,,True,True,"control=emotion_label_permutation;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.009950248756218905 | control=matched_random_centroid;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.11940298507462686"
centroid,aligned,40,all_six_negative,cosine,0.17424629628658295,,0.15032011233270168,0.19532996229827404,0.009950248756218905,0.020993931441692634,0.009950248756218905,0.11592903286218614,0.7168247484926338,raw,,,True,True,"control=emotion_label_permutation;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.009950248756218905 | control=matched_random_centroid;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.11940298507462686"
centroid,aligned,41,all_six_negative,cosine,0.16552162170410156,,0.14494394212961198,0.18455071821808816,0.014925373134328358,0.0255863539445629,0.009950248756218905,0.11397004052996616,0.7198005873100921,raw,,,True,True,"control=emotion_label_permutation;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.009950248756218905 | control=matched_random_centroid;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.11940298507462686"
centroid,aligned,42,all_six_negative,cosine,0.1645691841840744,,0.14597374126315116,0.18140491805970668,0.009950248756218905,0.020993931441692634,0.009950248756218905,0.11602374240756032,0.7240949620842523,raw,,,True,True,"control=emotion_label_permutation;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.009950248756218905 | control=matched_random_centroid;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.11940298507462686"
centroid,aligned,43,all_six_negative,cosine,0.16858744621276855,,0.14867574386298657,0.18614812456071378,0.009950248756218905,0.020993931441692634,0.009950248756218905,0.11467753984034043,0.723198767854887,raw,,,True,True,"control=emotion_label_permutation;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.009950248756218905 | control=matched_random_centroid;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.11940298507462686"
centroid,aligned,44,all_six_negative,cosine,0.1647755354642868,,0.1429437555372715,0.18253820575773716,0.009950248756218905,0.020993931441692634,0.009950248756218905,0.10794850103557085,0.7312309493546751,raw,,,True,True,"control=emotion_label_permutation;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.009950248756218905 | control=matched_random_centroid;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.11940298507462686"
centroid,aligned,45,all_six_negative,cosine,0.1685533970594406,,0.1438568901270628,0.18779598027467728,0.009950248756218905,0.020993931441692634,0.009950248756218905,0.11610844135284418,0.7198273613297953,raw,,,True,True,"control=emotion_label_permutation;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.009950248756218905 | control=matched_random_centroid;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.11940298507462686"
centroid,aligned,46,all_six_negative,cosine,0.18303020298480988,,0.15934623628854752,0.20367710180580617,0.009950248756218905,0.020993931441692634,0.009950248756218905,0.12847476750612258,0.7193075237795056,raw,,,True,True,"control=emotion_label_permutation;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.009950248756218905 | control=matched_random_centroid;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.11940298507462686"
centroid,aligned,47,all_six_negative,cosine,0.36636093258857727,,0.3324953965842724,0.3897551603615284,0.009950248756218905,0.020993931441692634,0.009950248756218905,0.23554037734866132,0.7687557810751308,raw,,,True,True,"control=emotion_label_permutation;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.009950248756218905 | control=matched_random_centroid;members=angry,furious,anxious,sad,gloomy,miserable;family_max_stat_p=0.11940298507462686"
